,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
159,0.99,2020-08-07,43.52,103,366,12.0,368.57142857142856,102.42857142857143,11.0,3.0,0.0,-2.1428571428571423
160,0.98,2020-08-08,43.52,100,386,13.0,373.0,104.14285714285714,11.0,1.0,0.0,-2.571428571428571
161,0.99,2020-08-09,43.52,109,386,7.0,375.42857142857144,104.42857142857143,11.714285714285714,-6.0,0.7142857142857135,-1.1428571428571441
162,0.98,2020-08-10,43.52,108,391,15.0,377.42857142857144,106.0,12.714285714285714,8.0,1.0,0.7142857142857135
163,0.99,2020-08-11,43.52,109,372,11.0,377.7142857142857,105.85714285714286,12.714285714285714,-4.0,0.0,1.0
164,0.99,2020-08-12,43.52,106,371,15.0,377.14285714285717,107.14285714285714,12.285714285714286,4.0,-0.42857142857142705,0.7142857142857153
165,0.98,2020-08-13,43.52,107,370,16.0,375.2857142857143,106.71428571428571,14.0,1.0,1.7142857142857135,3.0
166,1.01,2020-08-14,43.52,102,368,12.0,375.42857142857144,106.71428571428571,12.428571428571429,-4.0,-1.5714285714285712,1.4285714285714288
167,1.04,2020-08-15,43.52,109,382,10.0,379.0,107.14285714285714,12.857142857142858,-2.0,0.4285714285714288,1.8571428571428577
168,1.07,2020-08-16,37.96,106,373,19.0,380.57142857142856,107.85714285714286,12.428571428571429,9.0,-0.4285714285714288,0.7142857142857153
169,1.11,2020-08-17,37.96,108,392,4.0,383.85714285714283,108.28571428571429,11.857142857142858,-15.0,-0.5714285714285712,-0.8571428571428559
170,1.12,2020-08-18,37.96,112,397,14.0,388.42857142857144,109.42857142857143,12.0,10.0,0.14285714285714235,-0.7142857142857135
171,1.13,2020-08-19,37.96,111,382,12.0,391.42857142857144,110.14285714285714,12.0,-2.0,0.0,-0.2857142857142865
172,1.13,2020-08-20,37.96,110,393,12.0,396.0,111.14285714285714,11.142857142857142,0.0,-0.8571428571428577,-2.8571428571428577
173,1.12,2020-08-21,37.96,110,400,13.0,400.57142857142856,112.42857142857143,12.857142857142858,1.0,1.7142857142857153,0.4285714285714288
174,1.11,2020-08-22,37.96,114,403,10.0,404.85714285714283,113.0,13.571428571428571,-3.0,0.7142857142857135,0.7142857142857135
175,1.18,2020-08-23,37.96,113,405,13.0,409.85714285714283,113.71428571428571,13.428571428571429,3.0,-0.14285714285714235,1.0
176,1.18,2020-08-24,37.96,117,424,16.0,413.85714285714283,114.42857142857143,13.285714285714286,3.0,-0.14285714285714235,1.4285714285714288
177,1.2,2020-08-25,37.96,116,427,19.0,416.2857142857143,114.42857142857143,13.142857142857142,3.0,-0.14285714285714413,1.1428571428571423
178,1.22,2020-08-26,37.96,116,417,11.0,421.2857142857143,114.57142857142857,12.428571428571429,-8.0,-0.7142857142857135,0.4285714285714288
179,1.26,2020-08-27,37.96,115,421,11.0,428.2857142857143,116.14285714285714,12.571428571428571,0.0,0.14285714285714235,1.4285714285714288
180,1.28,2020-08-28,37.96,110,417,12.0,429.7142857142857,116.28571428571429,13.571428571428571,1.0,1.0,0.7142857142857135
181,1.29,2020-08-29,37.96,115,438,5.0,428.2857142857143,116.14285714285714,13.0,-7.0,-0.5714285714285712,-0.5714285714285712
182,1.25,2020-08-30,37.96,124,454,14.0,428.0,116.57142857142857,13.428571428571429,9.0,0.4285714285714288,0.0
183,1.26,2020-08-31,37.96,118,434,23.0,425.42857142857144,116.42857142857143,14.142857142857142,9.0,0.7142857142857135,0.8571428571428559
184,1.27,2020-09-01,37.96,115,417,15.0,425.14285714285717,117.57142857142857,14.142857142857142,-8.0,0.0,1.0
185,1.29,2020-09-02,37.96,119,415,14.0,425.2857142857143,118.85714285714286,15.571428571428571,-1.0,1.4285714285714288,3.1428571428571423
186,1.29,2020-09-03,37.96,114,403,16.0,425.2857142857143,119.57142857142857,15.285714285714286,2.0,-0.2857142857142847,2.7142857142857153
187,1.27,2020-09-04,37.96,118,415,12.0,428.7142857142857,121.42857142857143,14.428571428571429,-4.0,-0.8571428571428577,0.8571428571428577
188,1.29,2020-09-05,37.96,124,439,15.0,435.0,125.0,15.142857142857142,3.0,0.7142857142857135,2.1428571428571423
189,1.24,2020-09-06,37.96,129,454,12.0,445.0,127.42857142857143,15.285714285714286,-3.0,0.14285714285714413,1.8571428571428577
190,1.22,2020-09-07,37.96,131,458,17.0,457.57142857142856,130.57142857142858,15.0,5.0,-0.2857142857142865,0.8571428571428577
191,1.21,2020-09-08,37.96,140,461,20.0,467.85714285714283,132.14285714285714,16.142857142857142,3.0,1.1428571428571423,2.0
192,1.21,2020-09-09,37.96,136,485,15.0,478.7142857142857,133.0,16.142857142857142,-5.0,0.0,0.5714285714285712
193,1.16,2020-09-10,37.96,136,491,14.0,487.85714285714283,133.42857142857142,16.857142857142858,-1.0,0.7142857142857153,1.5714285714285712
194,1.08,2020-09-11,37.96,129,487,20.0,497.14285714285717,133.42857142857142,17.285714285714285,6.0,0.42857142857142705,2.857142857142856
195,1.1,2020-09-12,37.96,130,515,15.0,504.7142857142857,132.14285714285714,16.714285714285715,-5.0,-0.5714285714285694,1.571428571428573
196,1.15,2020-09-13,37.96,132,518,17.0,511.0,132.0,18.285714285714285,2.0,1.5714285714285694,2.9999999999999982
